Theme;Health;Health;Health;Economic security;Safety;Safety;Education;Children;Families;Access;Environ-ment;Happiness;;;;;;;;;;;;;;;;;;;;
Indicator name;Life Expectancy;Childhood Obesity;Incapacity Benefits claimant rate;Unemployment rate;Crime rate;Deliberate Fires;GCSE point scores;Unauthorised Pupil Absence;Children in out-of-work households;Public Transport Accessibility Scores;Access to public open space & nature;Subjective well-being average score;;;;;;;;;;;;;;;;;;;;
Importance;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;
"
10 = very important and 
0 = not important at all";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Overall well-being probability score (E&W = 0);;;;;;;;;;;;;;;;;;;;;;;;;;;
Enfield;E05000211;Turkey Street;;;-15;-15;-15;-15;-21;;-1,4;;;;0;0;0;-6;;;;;;;;;;;;;;
Enfield;E05000212;Upper Edmonton;;;7;7;7;7;-11;;-4,4;;;;0;0;0;-17;;;;;;;;;;;;;;
Enfield;E05000213;Winchmore Hill;;;3;3;3;3;-14;;-4,3;;;;0;0;0;-17;;;;;;;;;;;;;;
Greenwich;E05000214;Abbey Wood;;;22;22;22;22;10;;-2,9;;;;0;0;0;-11;;;;;;;;;;;;;;
Greenwich;E05000215;Blackheath Westcombe;;;-3;-3;-3;-3;3;;1,5;;;;0;0;0;6;;;;;;;;;;;;;;
Greenwich;E05000216;Charlton;;;-2;-2;-2;-2;3;;1,4;;;;0;0;0;6;;;;;;;;;;;;;;
Greenwich;E05000217;Coldharbour and New Eltham;;;11;11;11;11;1;;-2,5;;;;0;0;0;-10;;;;;;;;;;;;;;
Greenwich;E05000218;Eltham North;;;6;6;6;6;1;;-1,4;;;;0;0;0;-6;;;;;;;;;;;;;;
Greenwich;E05000219;Eltham South;;;6;6;6;6;1;;-1,2;;;;0;0;0;-5;;;;;;;;;;;;;;
Greenwich;E05000220;Eltham West;;;8;8;8;8;1;;-1,8;;;;0;0;0;-7;;;;;;;;;;;;;;
Greenwich;E05000221;Glyndon;;;11;11;11;11;10;;-0,3;;;;0;0;0;-1;;;;;;;;;;;;;;
Greenwich;E05000222;Greenwich West;;;11;11;11;11;3;;-2,0;;;;0;0;0;-8;;;;;;;;;;;;;;
Greenwich;E05000223;Kidbrooke with Hornfair;;;-13;-13;-13;-13;3;;4,2;;;;0;0;0;17;;;;;;;;;;;;;;
Greenwich;E05000224;Middle Park and Sutcliffe;;;1;1;1;1;1;;0,1;;;;0;0;0;0;;;;;;;;;;;;;;
Greenwich;E05000225;Peninsula;;;1;1;1;1;3;;0,7;;;;0;0;0;3;;;;;;;;;;;;;;
Greenwich;E05000226;Plumstead;;;-7;-7;-7;-7;10;;4,3;;;;0;0;0;17;;;;;;;;;;;;;;
Greenwich;E05000227;Shooters Hill;;;11;11;11;11;1;;-2,6;;;;0;0;0;-10;;;;;;;;;;;;;;
Greenwich;E05000228;Thamesmead Moorings;;;-7;-7;-7;-7;10;;4,3;;;;0;0;0;17;;;;;;;;;;;;;;
Greenwich;E05000229;Woolwich Common;;;-12;-12;-12;-12;10;;5,6;;;;0;0;0;22;;;;;;;;;;;;;;
Greenwich;E05000230;Woolwich Riverside;;;6;6;6;6;10;;1,0;;;;0;0;0;4;;;;;;;;;;;;;;
Hackney;E05000231;Brownswood;;;-18;-18;-18;-18;-12;;1,5;;;;0;0;0;6;;;;;;;;;;;;;;
Hackney;E05000232;Cazenove;;;-11;-11;-11;-11;-13;;-0,5;;;;0;0;0;-2;;;;;;;;;;;;;;
Hackney;E05000233;Chatham;;;-16;-16;-16;-16;-8;;2,0;;;;0;0;0;8;;;;;;;;;;;;;;
Hackney;E05000234;Clissold;;;-24;-24;-24;-24;-12;;3,0;;;;0;0;0;12;;;;;;;;;;;;;;
Hackney;E05000235;Dalston;;;-12;-12;-12;-12;-12;;-0,1;;;;0;0;0;0;;;;;;;;;;;;;;
Hackney;E05000236;De Beauvoir;;;-9;-9;-9;-9;-3;;1,5;;;;0;0;0;6;;;;;;;;;;;;;;
Hackney;E05000237;Hackney Central;;;-16;-16;-16;-16;-8;;2,0;;;;0;0;0;8;;;;;;;;;;;;;;
Hackney;E05000238;Hackney Downs;;;-21;-21;-21;-21;-13;;2,1;;;;0;0;0;9;;;;;;;;;;;;;;
Hackney;E05000239;Haggerston;;;-2;-2;-2;-2;-3;;-0,2;;;;0;0;0;-1;;;;;;;;;;;;;;
Hackney;E05000240;Hoxton;;;-4;-4;-4;-4;-3;;0,2;;;;0;0;0;1;;;;;;;;;;;;;;
Hackney;E05000241;King's Park;;;-14;-14;-14;-14;-8;;1,5;;;;0;0;0;6;;;;;;;;;;;;;;
Hackney;E05000242;Leabridge;;;-13;-13;-13;-13;-13;;0,0;;;;0;0;0;0;;;;;;;;;;;;;;
Hackney;E05000243;Lordship;;;-17;-17;-17;-17;-12;;1,2;;;;0;0;0;5;;;;;;;;;;;;;;
Hackney;E05000244;New River;;;-11;-11;-11;-11;-13;;-0,5;;;;0;0;0;-2;;;;;;;;;;;;;;
Hackney;E05000245;Queensbridge;;;-10;-10;-10;-10;-3;;1,7;;;;0;0;0;7;;;;;;;;;;;;;;
Hackney;E05000246;Springfield;;;-7;-7;-7;-7;-13;;-1,4;;;;0;0;0;-6;;;;;;;;;;;;;;
Hackney;E05000247;Stoke Newington Central;;;-3;-3;-3;-3;-12;;-2,2;;;;0;0;0;-9;;;;;;;;;;;;;;
Hackney;E05000248;Victoria;;;15;15;15;15;-8;;-5,7;;;;0;0;0;-23;;;;;;;;;;;;;;
Hackney;E05000249;Wick;;;-4;-4;-4;-4;-8;;-1,0;;;;0;0;0;-4;;;;;;;;;;;;;;
Hammersmith and Fulham;E05000250;Addison;;;1;1;1;1;10;;2,2;;;;0;0;0;9;;;;;;;;;;;;;;
Hammersmith and Fulham;E05000251;Askew;;;10;10;10;10;10;;-0,2;;;;0;0;0;-1;;;;;;;;;;;;;;
Hammersmith and Fulham;E05000252;Avonmore and Brook Green;;;5;5;5;5;10;;1,1;;;;0;0;0;4;;;;;;;;;;;;;;
Hammersmith and Fulham;E05000253;College Park and Old Oak;;;0;0;0;0;10;;2,3;;;;0;0;0;9;;;;;;;;;;;;;;
Hammersmith and Fulham;E05000254;Fulham Broadway;;;-4;-4;-4;-4;3;;1,9;;;;0;0;0;8;;;;;;;;;;;;;;
Hammersmith and Fulham;E05000255;Fulham Reach;;;-3;-3;-3;-3;3;;1,6;;;;0;0;0;6;;;;;;;;;;;;;;
Hammersmith and Fulham;E05000256;Hammersmith Broadway;;;0;0;0;0;3;;0,8;;;;0;0;0;3;;;;;;;;;;;;;;
Hammersmith and Fulham;E05000257;Munster;;;-8;-8;-8;-8;3;;2,8;;;;0;0;0;11;;;;;;;;;;;;;;
Hammersmith and Fulham;E05000258;North End;;;0;0;0;0;3;;0,7;;;;0;0;0;3;;;;;;;;;;;;;;
Hammersmith and Fulham;E05000259;Palace Riverside;;;15;15;15;15;3;;-2,8;;;;0;0;0;-11;;;;;;;;;;;;;;
Hammersmith and Fulham;E05000260;Parsons Green and Walham;;;6;6;6;6;3;;-0,6;;;;0;0;0;-2;;;;;;;;;;;;;;
Hammersmith and Fulham;E05000261;Ravenscourt Park;;;8;8;8;8;10;;0,5;;;;0;0;0;2;;;;;;;;;;;;;;
Hammersmith and Fulham;E05000262;Sands End;;;16;16;16;16;3;;-3,3;;;;0;0;0;-13;;;;;;;;;;;;;;
Hammersmith and Fulham;E05000263;Shepherd's Bush Green;;;2;2;2;2;10;;1,9;;;;0;0;0;7;;;;;;;;;;;;;;
Hammersmith and Fulham;E05000264;Town;;;16;16;16;16;3;;-3,2;;;;0;0;0;-13;;;;;;;;;;;;;;
Hammersmith and Fulham;E05000265;Wormholt and White City;;;8;8;8;8;10;;0,3;;;;0;0;0;1;;;;;;;;;;;;;;
Haringey;E05000266;Alexandra;;;-21;-21;-21;-21;-9;;3,0;;;;0;0;0;12;;;;;;;;;;;;;;
Haringey;E05000267;Bounds Green;;;-10;-10;-10;-10;-8;;0,6;;;;0;0;0;2;;;;;;;;;;;;;;
Haringey;E05000268;Bruce Grove;;;-9;-9;-9;-9;-12;;-0,8;;;;0;0;0;-3;;;;;;;;;;;;;;
Haringey;E05000269;Crouch End;;;-7;-7;-7;-7;-9;;-0,6;;;;0;0;0;-2;;;;;;;;;;;;;;
Haringey;E05000270;Fortis Green;;;-18;-18;-18;-18;-9;;2,1;;;;0;0;0;9;;;;;;;;;;;;;;
Haringey;E05000271;Harringay;;;-4;-4;-4;-4;-9;;-1,4;;;;0;0;0;-6;;;;;;;;;;;;;;
Haringey;E05000272;Highgate;;;-10;-10;-10;-10;-9;;0,2;;;;0;0;0;1;;;;;;;;;;;;;;
Haringey;E05000273;Hornsey;;;-10;-10;-10;-10;-9;;0,1;;;;0;0;0;0;;;;;;;;;;;;;;
Haringey;E05000274;Muswell Hill;;;-11;-11;-11;-11;-9;;0,6;;;;0;0;0;2;;;;;;;;;;;;;;
Haringey;E05000275;Noel Park;;;-10;-10;-10;-10;-8;;0,5;;;;0;0;0;2;;;;;;;;;;;;;;
Haringey;E05000276;Northumberland Park;;;5;5;5;5;-8;;-3,2;;;;0;0;0;-13;;;;;;;;;;;;;;
Haringey;E05000277;St Ann's;;;-1;-1;-1;-1;-9;;-2,0;;;;0;0;0;-8;;;;;;;;;;;;;;
Haringey;E05000278;Seven Sisters;;;9;9;9;9;-12;;-5,3;;;;0;0;0;-21;;;;;;;;;;;;;;
Haringey;E05000279;Stroud Green;;;1;1;1;1;-9;;-2,5;;;;0;0;0;-10;;;;;;;;;;;;;;
Haringey;E05000280;Tottenham Green;;;-11;-11;-11;-11;-12;;-0,2;;;;0;0;0;-1;;;;;;;;;;;;;;
Haringey;E05000281;Tottenham Hale;;;5;5;5;5;-12;;-4,2;;;;0;0;0;-17;;;;;;;;;;;;;;
Haringey;E05000282;West Green;;;-24;-24;-24;-24;-12;;3,0;;;;0;0;0;12;;;;;;;;;;;;;;
Haringey;E05000283;White Hart Lane;;;-16;-16;-16;-16;-8;;2,0;;;;0;0;0;8;;;;;;;;;;;;;;
Haringey;E05000284;Woodside;;;-1;-1;-1;-1;-8;;-1,9;;;;0;0;0;-7;;;;;;;;;;;;;;
Harrow;E05000285;Belmont;;;1;1;1;1;-9;;-2,6;;;;0;0;0;-10;;;;;;;;;;;;;;
Harrow;E05000286;Canons;;;-9;-9;-9;-9;-9;;0,0;;;;0;0;0;0;;;;;;;;;;;;;;
Harrow;E05000287;Edgware;;;-9;-9;-9;-9;-9;;0,0;;;;0;0;0;0;;;;;;;;;;;;;;
Harrow;E05000288;Greenhill;;;-10;-10;-10;-10;-14;;-0,9;;;;0;0;0;-4;;;;;;;;;;;;;;
Harrow;E05000289;Harrow on the Hill;;;1;1;1;1;-14;;-3,7;;;;0;0;0;-15;;;;;;;;;;;;;;
Harrow;E05000290;Harrow Weald;;;-7;-7;-7;-7;-14;;-1,8;;;;0;0;0;-7;;;;;;;;;;;;;;
Harrow;E05000291;Hatch End;;;10;10;10;10;-14;;-6,1;;;;0;0;0;-24;;;;;;;;;;;;;;
Harrow;E05000292;Headstone North;;;-17;-17;-17;-17;-13;;0,9;;;;0;0;0;4;;;;;;;;;;;;;;
Harrow;E05000293;Headstone South;;;-4;-4;-4;-4;-13;;-2,4;;;;0;0;0;-9;;;;;;;;;;;;;;
Harrow;E05000294;Kenton East;;;-4;-4;-4;-4;-9;;-1,1;;;;0;0;0;-5;;;;;;;;;;;;;;
Harrow;E05000295;Kenton West;;;0;0;0;0;-9;;-2,2;;;;0;0;0;-9;;;;;;;;;;;;;;
Harrow;E05000296;Marlborough;;;-9;-9;-9;-9;-14;;-1,3;;;;0;0;0;-5;;;;;;;;;;;;;;
Harrow;E05000297;Pinner;;;-19;-19;-19;-19;-13;;1,5;;;;0;0;0;6;;;;;;;;;;;;;;
Harrow;E05000298;Pinner South;;;-8;-8;-8;-8;-13;;-1,2;;;;0;0;0;-5;;;;;;;;;;;;;;
Harrow;E05000299;Queensbury;;;-8;-8;-8;-8;-9;;-0,1;;;;0;0;0;0;;;;;;;;;;;;;;
Harrow;E05000300;Rayners Lane;;;-1;-1;-1;-1;-13;;-3,0;;;;0;0;0;-12;;;;;;;;;;;;;;
Harrow;E05000301;Roxbourne;;;-10;-10;-10;-10;-13;;-0,7;;;;0;0;0;-3;;;;;;;;;;;;;;
Harrow;E05000302;Roxeth;;;-19;-19;-19;-19;-13;;1,5;;;;0;0;0;6;;;;;;;;;;;;;;
Harrow;E05000303;Stanmore Park;;;-8;-8;-8;-8;-9;;-0,2;;;;0;0;0;-1;;;;;;;;;;;;;;
Harrow;E05000304;Wealdstone;;;-14;-14;-14;-14;-14;;-0,1;;;;0;0;0;0;;;;;;;;;;;;;;
Harrow;E05000305;West Harrow;;;3;3;3;3;-13;;-4,0;;;;0;0;0;-16;;;;;;;;;;;;;;
Havering;E05000306;Brooklands;;;9;9;9;9;12;;0,9;;;;0;0;0;3;;;;;;;;;;;;;;
Havering;E05000307;Cranham;;;8;8;8;8;4;;-1,1;;;;0;0;0;-4;;;;;;;;;;;;;;
Havering;E05000308;Elm Park;;;5;5;5;5;4;;-0,4;;;;0;0;0;-2;;;;;;;;;;;;;;
Havering;E05000309;Emerson Park;;;29;29;29;29;12;;-4,1;;;;0;0;0;-16;;;;;;;;;;;;;;
Havering;E05000310;Gooshays;;;-4;-4;-4;-4;3;;1,8;;;;0;0;0;7;;;;;;;;;;;;;;
Havering;E05000311;Hacton;;;8;8;8;8;4;;-1,2;;;;0;0;0;-5;;;;;;;;;;;;;;
Havering;E05000312;Harold Wood;;;3;3;3;3;3;;0,1;;;;0;0;0;0;;;;;;;;;;;;;;
Havering;E05000313;Havering Park;;;1;1;1;1;3;;0,5;;;;0;0;0;2;;;;;;;;;;;;;;
Havering;E05000314;Heaton;;;-16;-16;-16;-16;3;;4,6;;;;0;0;0;18;;;;;;;;;;;;;;
Havering;E05000315;Hylands;;;8;8;8;8;12;;1,1;;;;0;0;0;4;;;;;;;;;;;;;;
Havering;E05000316;Mawneys;;;10;10;10;10;3;;-1,8;;;;0;0;0;-7;;;;;;;;;;;;;;
Havering;E05000317;Pettits;;;8;8;8;8;3;;-1,2;;;;0;0;0;-5;;;;;;;;;;;;;;
Havering;E05000318;Rainham and Wennington;;;-15;-15;-15;-15;4;;4,7;;;;0;0;0;19;;;;;;;;;;;;;;
Havering;E05000319;Romford Town;;;0;0;0;0;12;;3,2;;;;0;0;0;13;;;;;;;;;;;;;;
Havering;E05000320;St Andrew's;;;6;6;6;6;12;;1,4;;;;0;0;0;6;;;;;;;;;;;;;;
Havering;E05000321;South Hornchurch;;;-2;-2;-2;-2;4;;1,5;;;;0;0;0;6;;;;;;;;;;;;;;
Havering;E05000322;Squirrel's Heath;;;4;4;4;4;12;;2,0;;;;0;0;0;8;;;;;;;;;;;;;;
Havering;E05000323;Upminster;;;-3;-3;-3;-3;4;;1,8;;;;0;0;0;7;;;;;;;;;;;;;;
Hillingdon;E05000324;Barnhill;;;-16;-16;-16;-16;-23;;-1,7;;;;0;0;0;-7;;;;;;;;;;;;;;
Hillingdon;E05000325;Botwell;;;-11;-11;-11;-11;-23;;-3,0;;;;0;0;0;-12;;;;;;;;;;;;;;
Hillingdon;E05000326;Brunel;;;-5;-5;-5;-5;-9;;-1,1;;;;0;0;0;-4;;;;;;;;;;;;;;
Hillingdon;E05000327;Cavendish;;;-11;-11;-11;-11;0;;2,7;;;;0;0;0;11;;;;;;;;;;;;;;
Hillingdon;E05000328;Charville;;;-11;-11;-11;-11;-23;;-3,1;;;;0;0;0;-12;;;;;;;;;;;;;;
Hillingdon;E05000329;Eastcote and East Ruislip;;;11;11;11;11;0;;-2,6;;;;0;0;0;-11;;;;;;;;;;;;;;
Hillingdon;E05000330;Harefield;;;0;0;0;0;0;;0,0;;;;0;0;0;0;;;;;;;;;;;;;;
Hillingdon;E05000331;Heathrow Villages;;;7;7;7;7;3;;-0,9;;;;0;0;0;-4;;;;;;;;;;;;;;
Hillingdon;E05000332;Hillingdon East;;;-2;-2;-2;-2;-9;;-1,9;;;;0;0;0;-7;;;;;;;;;;;;;;
Hillingdon;E05000333;Ickenham;;;-3;-3;-3;-3;0;;0,7;;;;0;0;0;3;;;;;;;;;;;;;;
Hillingdon;E05000334;Manor;;;-3;-3;-3;-3;0;;0,8;;;;0;0;0;3;;;;;;;;;;;;;;
Hillingdon;E05000335;Northwood;;;-1;-1;-1;-1;0;;0,3;;;;0;0;0;1;;;;;;;;;;;;;;
Hillingdon;E05000336;Northwood Hills;;;-14;-14;-14;-14;0;;3,6;;;;0;0;0;14;;;;;;;;;;;;;;
Hillingdon;E05000337;Pinkwell;;;-3;-3;-3;-3;3;;1,6;;;;0;0;0;6;;;;;;;;;;;;;;
Hillingdon;E05000338;South Ruislip;;;3;3;3;3;0;;-0,8;;;;0;0;0;-3;;;;;;;;;;;;;;
Hillingdon;E05000339;Townfield;;;4;4;4;4;-23;;-6,9;;;;0;0;0;-27;;;;;;;;;;;;;;
Hillingdon;E05000340;Uxbridge North;;;-18;-18;-18;-18;-9;;2,2;;;;0;0;0;9;;;;;;;;;;;;;;
Hillingdon;E05000341;Uxbridge South;;;-5;-5;-5;-5;-9;;-1,1;;;;0;0;0;-4;;;;;;;;;;;;;;
Hillingdon;E05000342;West Drayton;;;6;6;6;6;3;;-0,7;;;;0;0;0;-3;;;;;;;;;;;;;;
Hillingdon;E05000343;West Ruislip;;;-14;-14;-14;-14;0;;3,4;;;;0;0;0;14;;;;;;;;;;;;;;
Hillingdon;E05000344;Yeading;;;-10;-10;-10;-10;-23;;-3,1;;;;0;0;0;-13;;;;;;;;;;;;;;
Hillingdon;E05000345;Yiewsley;;;14;14;14;14;3;;-2,8;;;;0;0;0;-11;;;;;;;;;;;;;;
Hounslow;E05000346;Bedfont;;;-5;-5;-5;-5;-8;;-0,6;;;;0;0;0;-3;;;;;;;;;;;;;;
Hounslow;E05000347;Brentford;;;-6;-6;-6;-6;4;;2,6;;;;0;0;0;11;;;;;;;;;;;;;;
Hounslow;E05000348;Chiswick Homefields;;;6;6;6;6;4;;-0,4;;;;0;0;0;-1;;;;;;;;;;;;;;
Hounslow;E05000349;Chiswick Riverside;;;-15;-15;-15;-15;4;;4,9;;;;0;0;0;20;;;;;;;;;;;;;;
Hounslow;E05000350;Cranford;;;-18;-18;-18;-18;-9;;2,2;;;;0;0;0;9;;;;;;;;;;;;;;
Hounslow;E05000351;Feltham North;;;-4;-4;-4;-4;-8;;-1,0;;;;0;0;0;-4;;;;;;;;;;;;;;
Hounslow;E05000352;Feltham West;;;-11;-11;-11;-11;-8;;0,8;;;;0;0;0;3;;;;;;;;;;;;;;
Hounslow;E05000353;Hanworth;;;2;2;2;2;-8;;-2,4;;;;0;0;0;-9;;;;;;;;;;;;;;
Hounslow;E05000354;Hanworth Park;;;-13;-13;-13;-13;-8;;1,3;;;;0;0;0;5;;;;;;;;;;;;;;
Hounslow;E05000355;Heston Central;;;-9;-9;-9;-9;-9;;0,1;;;;0;0;0;0;;;;;;;;;;;;;;
Hounslow;E05000356;Heston East;;;-10;-10;-10;-10;-9;;0,2;;;;0;0;0;1;;;;;;;;;;;;;;
Hounslow;E05000357;Heston West;;;-13;-13;-13;-13;-9;;1,1;;;;0;0;0;4;;;;;;;;;;;;;;
Hounslow;E05000358;Hounslow Central;;;-9;-9;-9;-9;-8;;0,3;;;;0;0;0;1;;;;;;;;;;;;;;
Hounslow;E05000359;Hounslow Heath;;;5;5;5;5;-8;;-3,3;;;;0;0;0;-13;;;;;;;;;;;;;;
Hounslow;E05000360;Hounslow South;;;5;5;5;5;-8;;-3,3;;;;0;0;0;-13;;;;;;;;;;;;;;
Hounslow;E05000361;Hounslow West;;;-21;-21;-21;-21;-8;;3,4;;;;0;0;0;13;;;;;;;;;;;;;;
Hounslow;E05000362;Isleworth;;;11;11;11;11;-8;;-4,6;;;;0;0;0;-18;;;;;;;;;;;;;;
Hounslow;E05000363;Osterley and Spring Grove;;;-2;-2;-2;-2;-9;;-1,7;;;;0;0;0;-7;;;;;;;;;;;;;;
Hounslow;E05000364;Syon;;;12;12;12;12;4;;-1,9;;;;0;0;0;-7;;;;;;;;;;;;;;
Hounslow;E05000365;Turnham Green;;;-7;-7;-7;-7;4;;2,7;;;;0;0;0;11;;;;;;;;;;;;;;
Islington;E05000366;Barnsbury;;;1;1;1;1;-5;;-1,4;;;;0;0;0;-6;;;;;;;;;;;;;;
Islington;E05000367;Bunhill;;;-22;-22;-22;-22;-7;;3,7;;;;0;0;0;15;;;;;;;;;;;;;;
Islington;E05000368;Caledonian;;;17;17;17;17;-5;;-5,5;;;;0;0;0;-22;;;;;;;;;;;;;;
Islington;E05000369;Canonbury;;;-1;-1;-1;-1;-7;;-1,7;;;;0;0;0;-7;;;;;;;;;;;;;;
Islington;E05000370;Clerkenwell;;;-6;-6;-6;-6;-7;;-0,5;;;;0;0;0;-2;;;;;;;;;;;;;;
Islington;E05000371;Finsbury Park;;;-18;-18;-18;-18;8;;6,3;;;;0;0;0;25;;;;;;;;;;;;;;
Islington;E05000372;Highbury East;;;4;4;4;4;8;;1,0;;;;0;0;0;4;;;;;;;;;;;;;;
Islington;E05000373;Highbury West;;;0;0;0;0;8;;2,0;;;;0;0;0;8;;;;;;;;;;;;;;
Islington;E05000374;Hillrise;;;-7;-7;-7;-7;-13;;-1,3;;;;0;0;0;-5;;;;;;;;;;;;;;
Islington;E05000375;Holloway;;;6;6;6;6;-5;;-2,6;;;;0;0;0;-10;;;;;;;;;;;;;;
Islington;E05000376;Junction;;;1;1;1;1;-13;;-3,3;;;;0;0;0;-13;;;;;;;;;;;;;;
Islington;E05000377;Mildmay;;;-12;-12;-12;-12;8;;5,0;;;;0;0;0;20;;;;;;;;;;;;;;
Islington;E05000378;St George's;;;-2;-2;-2;-2;-13;;-2,8;;;;0;0;0;-11;;;;;;;;;;;;;;
Islington;E05000379;St Mary's;;;13;13;13;13;-5;;-4,5;;;;0;0;0;-18;;;;;;;;;;;;;;
Islington;E05000380;St Peter's;;;-6;-6;-6;-6;-7;;-0,4;;;;0;0;0;-2;;;;;;;;;;;;;;
Islington;E05000381;Tollington;;;-5;-5;-5;-5;-13;;-1,9;;;;0;0;0;-8;;;;;;;;;;;;;;
Kensington and Chelsea;E05000382;Abingdon;;;7;7;7;7;5;;-0,5;;;;0;0;0;-2;;;;;;;;;;;;;;
Kensington and Chelsea;E05000383;Brompton;;;10;10;10;10;7;;-0,8;;;;0;0;0;-3;;;;;;;;;;;;;;
Kensington and Chelsea;E05000384;Campden;;;7;7;7;7;5;;-0,4;;;;0;0;0;-2;;;;;;;;;;;;;;
Kensington and Chelsea;E05000385;Colville;;;9;9;9;9;7;;-0,5;;;;0;0;0;-2;;;;;;;;;;;;;;
Kensington and Chelsea;E05000386;Courtfield;;;-1;-1;-1;-1;7;;2,1;;;;0;0;0;8;;;;;;;;;;;;;;
Kensington and Chelsea;E05000387;Cremorne;;;13;13;13;13;7;;-1,5;;;;0;0;0;-6;;;;;;;;;;;;;;
Kensington and Chelsea;E05000388;Earl's Court;;;7;7;7;7;5;;-0,4;;;;0;0;0;-1;;;;;;;;;;;;;;
Kensington and Chelsea;E05000389;Golborne;;;8;8;8;8;7;;-0,4;;;;0;0;0;-2;;;;;;;;;;;;;;
Kensington and Chelsea;E05000390;Hans Town;;;-6;-6;-6;-6;7;;3,4;;;;0;0;0;13;;;;;;;;;;;;;;
Kensington and Chelsea;E05000391;Holland;;;6;6;6;6;5;;-0,2;;;;0;0;0;-1;;;;;;;;;;;;;;
Kensington and Chelsea;E05000392;Norland;;;8;8;8;8;7;;-0,4;;;;0;0;0;-2;;;;;;;;;;;;;;
Kensington and Chelsea;E05000393;Notting Barns;;;17;17;17;17;7;;-2,7;;;;0;0;0;-11;;;;;;;;;;;;;;
Kensington and Chelsea;E05000394;Pembridge;;;23;23;23;23;7;;-4,2;;;;0;0;0;-17;;;;;;;;;;;;;;
Kensington and Chelsea;E05000395;Queen's Gate;;;-2;-2;-2;-2;5;;1,7;;;;0;0;0;7;;;;;;;;;;;;;;
Kensington and Chelsea;E05000396;Redcliffe;;;10;10;10;10;5;;-1,3;;;;0;0;0;-5;;;;;;;;;;;;;;
Kensington and Chelsea;E05000397;Royal Hospital;;;-9;-9;-9;-9;7;;4,0;;;;0;0;0;16;;;;;;;;;;;;;;
Kensington and Chelsea;E05000398;St Charles;;;9;9;9;9;7;;-0,6;;;;0;0;0;-2;;;;;;;;;;;;;;
Kensington and Chelsea;E05000399;Stanley;;;7;7;7;7;7;;0,0;;;;0;0;0;0;;;;;;;;;;;;;;
Kingston upon Thames;E05000400;Alexandra;;;-10;-10;-10;-10;-7;;0,8;;;;0;0;0;3;;;;;;;;;;;;;;
Kingston upon Thames;E05000401;Berrylands;;;7;7;7;7;-7;;-3,5;;;;0;0;0;-14;;;;;;;;;;;;;;
Kingston upon Thames;E05000402;Beverley;;;6;6;6;6;-7;;-3,3;;;;0;0;0;-13;;;;;;;;;;;;;;
Kingston upon Thames;E05000403;Canbury;;;0;0;0;0;-7;;-1,6;;;;0;0;0;-6;;;;;;;;;;;;;;
Kingston upon Thames;E05000404;Chessington North and Hook;;;2;2;2;2;-7;;-2,2;;;;0;0;0;-9;;;;;;;;;;;;;;
Kingston upon Thames;E05000405;Chessington South;;;3;3;3;3;-7;;-2,5;;;;0;0;0;-10;;;;;;;;;;;;;;
Kingston upon Thames;E05000406;Coombe Hill;;;15;15;15;15;-7;;-5,3;;;;0;0;0;-21;;;;;;;;;;;;;;
Kingston upon Thames;E05000407;Coombe Vale;;;8;8;8;8;-7;;-3,6;;;;0;0;0;-14;;;;;;;;;;;;;;
Kingston upon Thames;E05000408;Grove;;;-7;-7;-7;-7;-7;;0,0;;;;0;0;0;0;;;;;;;;;;;;;;
Kingston upon Thames;E05000409;Norbiton;;;2;2;2;2;-7;;-2,1;;;;0;0;0;-9;;;;;;;;;;;;;;
Kingston upon Thames;E05000410;Old Malden;;;0;0;0;0;-7;;-1,7;;;;0;0;0;-7;;;;;;;;;;;;;;
Kingston upon Thames;E05000411;St James;;;0;0;0;0;-7;;-1,7;;;;0;0;0;-7;;;;;;;;;;;;;;
Kingston upon Thames;E05000412;St Mark's;;;-2;-2;-2;-2;-7;;-1,1;;;;0;0;0;-5;;;;;;;;;;;;;;
Kingston upon Thames;E05000413;Surbiton Hill;;;-5;-5;-5;-5;-7;;-0,5;;;;0;0;0;-2;;;;;;;;;;;;;;
Kingston upon Thames;E05000414;Tolworth and Hook Rise;;;-4;-4;-4;-4;-7;;-0,7;;;;0;0;0;-3;;;;;;;;;;;;;;
Kingston upon Thames;E05000415;Tudor;;;-7;-7;-7;-7;-7;;0,1;;;;0;0;0;0;;;;;;;;;;;;;;
Lambeth;E05000416;Bishop's;;;-19;-19;-19;-19;2;;5,1;;;;0;0;0;20;;;;;;;;;;;;;;
Lambeth;E05000417;Brixton Hill;;;-2;-2;-2;-2;-3;;-0,1;;;;0;0;0;0;;;;;;;;;;;;;;
Lambeth;E05000418;Clapham Common;;;2;2;2;2;-3;;-1,3;;;;0;0;0;-5;;;;;;;;;;;;;;
Lambeth;E05000419;Clapham Town;;;0;0;0;0;-3;;-0,6;;;;0;0;0;-2;;;;;;;;;;;;;;
Lambeth;E05000420;Coldharbour;;;-6;-6;-6;-6;-3;;0,7;;;;0;0;0;3;;;;;;;;;;;;;;
Lambeth;E05000421;Ferndale;;;-8;-8;-8;-8;-3;;1,3;;;;0;0;0;5;;;;;;;;;;;;;;
Lambeth;E05000422;Gipsy Hill;;;-11;-11;-11;-11;2;;3,1;;;;0;0;0;12;;;;;;;;;;;;;;
