Theme;Health;Health;Health;Economic security;Safety;Safety;Education;Children;Families;Access;Environ-ment;Happiness;;;;;;;;;;;;;;;;;;;;
Indicator name;Life Expectancy;Childhood Obesity;Incapacity Benefits claimant rate;Unemployment rate;Crime rate;Deliberate Fires;GCSE point scores;Unauthorised Pupil Absence;Children in out-of-work households;Public Transport Accessibility Scores;Access to public open space & nature;Subjective well-being average score;;;;;;;;;;;;;;;;;;;;
Importance;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;
"
10 = very important and 
0 = not important at all";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Overall well-being probability score (E&W = 0);;;;;;;;;;;;;;;;;;;;;;;;;;;
Bexley;E05000068;Brampton;;;1;1;1;1;9;;1,9;;;;0;0;0;8;;;;;;;;;;;;;;
Bexley;E05000069;Christchurch;;;12;12;12;12;9;;-0,9;;;;0;0;0;-4;;;;;;;;;;;;;;
Bexley;E05000070;Colyers;;;8;8;8;8;8;;-0,1;;;;0;0;0;0;;;;;;;;;;;;;;
Bexley;E05000071;Crayford;;;-5;-5;-5;-5;8;;3,3;;;;0;0;0;13;;;;;;;;;;;;;;
Bexley;E05000072;Cray Meadows;;;-9;-9;-9;-9;8;;4,4;;;;0;0;0;18;;;;;;;;;;;;;;
Bexley;E05000073;Danson Park;;;14;14;14;14;9;;-1,4;;;;0;0;0;-6;;;;;;;;;;;;;;
Bexley;E05000074;East Wickham;;;4;4;4;4;9;;1,0;;;;0;0;0;4;;;;;;;;;;;;;;
Bexley;E05000075;Erith;;;13;13;13;13;8;;-1,4;;;;0;0;0;-6;;;;;;;;;;;;;;
Bexley;E05000076;Falconwood and Welling;;;16;16;16;16;9;;-1,8;;;;0;0;0;-7;;;;;;;;;;;;;;
Bexley;E05000077;Lesnes Abbey;;;9;9;9;9;8;;-0,4;;;;0;0;0;-1;;;;;;;;;;;;;;
Bexley;E05000078;Longlands;;;8;8;8;8;8;;0,1;;;;0;0;0;0;;;;;;;;;;;;;;
Bexley;E05000079;North End;;;-16;-16;-16;-16;8;;6,0;;;;0;0;0;24;;;;;;;;;;;;;;
Bexley;E05000080;Northumberland Heath;;;16;16;16;16;8;;-2,1;;;;0;0;0;-8;;;;;;;;;;;;;;
Bexley;E05000081;St Mary's;;;14;14;14;14;8;;-1,3;;;;0;0;0;-5;;;;;;;;;;;;;;
Bexley;E05000082;St Michael's;;;11;11;11;11;9;;-0,5;;;;0;0;0;-2;;;;;;;;;;;;;;
Bexley;E05000083;Sidcup;;;-6;-6;-6;-6;8;;3,5;;;;0;0;0;14;;;;;;;;;;;;;;
Bexley;E05000084;Thamesmead East;;;-2;-2;-2;-2;8;;2,5;;;;0;0;0;10;;;;;;;;;;;;;;
Brent;E05000085;Alperton;;;-5;-5;-5;-5;-13;;-2,1;;;;0;0;0;-8;;;;;;;;;;;;;;
Brent;E05000086;Barnhill;;;-4;-4;-4;-4;-13;;-2,1;;;;0;0;0;-8;;;;;;;;;;;;;;
Brent;E05000087;Brondesbury Park;;;8;8;8;8;-1;;-2,2;;;;0;0;0;-9;;;;;;;;;;;;;;
Brent;E05000088;Dollis Hill;;;-21;-21;-21;-21;-1;;5,0;;;;0;0;0;20;;;;;;;;;;;;;;
Brent;E05000089;Dudden Hill;;;-12;-12;-12;-12;-13;;-0,2;;;;0;0;0;-1;;;;;;;;;;;;;;
