Code;Ward name;LAD code;Borough;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13;;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13
E05000056;High Barnet;E09000003;Barnet;41490;41970;43790;46440;47210;50100;50930;54550;54530;56560;58570;59790;;30970;31410;32310;34210;34260;36240;37290;38440;40090;41160;43150;43940
E05000057;Mill Hill;E09000003;Barnet;40600;40950;42590;45030;45650;48300;48950;52280;52110;53900;55650;56660;;30400;30750;31550;33310;33280;35110;36030;37040;38540;39460;41270;41920
E05000058;Oakleigh;E09000003;Barnet;39220;39640;41330;43800;44500;47200;47960;51360;51330;53230;55110;56260;;29500;29890;30730;32510;32540;34410;35390;36470;38030;39040;40920;41670
E05000059;Totteridge;E09000003;Barnet;45780;46120;47910;50600;51230;54160;54850;58530;58310;60280;62210;63320;;33660;34020;34880;36800;36730;38720;39720;40820;42460;43460;45440;46150
E05000060;Underhill;E09000003;Barnet;33420;33880;35440;37680;38410;40870;41640;44700;44790;46550;48290;49390;;25530;25950;26750;28390;28500;30210;31150;32180;33630;34580;36310;37040
E05000061;West Finchley;E09000003;Barnet;40570;40910;42560;45000;45630;48300;48970;52320;52190;54010;55800;56850;;30370;30730;31530;33290;33270;35100;36040;37070;38590;39530;41370;42050
E05000062;West Hendon;E09000003;Barnet;33460;33670;34960;36920;37400;39570;40110;42850;42750;44250;45740;46620;;25560;25800;26420;27860;27800;29310;30080;30930;32190;32980;34510;35090
E05000063;Woodhouse;E09000003;Barnet;36560;36820;38270;40440;40990;43370;43970;46990;46870;48520;50140;51100;;27710;28000;28700;30290;30240;31900;32750;33680;35060;35920;37590;38220
E05000064;Barnehurst;E09000004;Bexley;31120;31510;32910;34960;35620;37890;38610;41470;41570;43250;44910;45990;;26340;26730;27530;29190;29280;31030;32000;33070;34580;35590;37410;38200
E05000065;Belvedere;E09000004;Bexley;27060;27400;28630;30430;31020;33010;33650;36150;36250;37720;39170;40110;;23030;23380;24080;25540;25640;27190;28050;28990;30330;31220;32820;33510
E05000066;Blackfen and Lamorbey;E09000004;Bexley;32920;33420;35000;37250;38010;40500;41320;44420;44570;46400;48210;49390;;27740;28220;29130;30940;31090;32990;34060;35230;36870;37970;39920;40780
E05000067;Blendon and Penhill;E09000004;Bexley;33480;33860;35320;37460;38110;40480;41200;44190;44250;45980;47700;48800;;28170;28560;29370;31100;31160;32980;33970;35060;36620;37660;39540;40340
E05000068;Brampton;E09000004;Bexley;33920;34310;35810;37990;38650;41060;41790;44810;44860;46600;48320;49400;;28500;28900;29740;31490;31560;33410;34410;35510;37080;38110;40000;40790
E05000069;Christchurch;E09000004;Bexley;33340;33730;35210;37370;38030;40400;41120;44100;44150;45850;47540;48590;;28060;28460;29290;31030;31100;32920;33910;34990;36540;37560;39420;40190
E05000070;Colyers;E09000004;Bexley;26520;27000;28360;30290;31010;33150;33950;36620;36870;38510;40140;41250;;22570;23040;23850;25420;25640;27310;28290;29360;30840;31860;33620;34450
E05000071;Crayford;E09000004;Bexley;27590;28010;29350;31260;31930;34060;34790;37440;37610;39200;40770;41810;;23470;23890;24670;26230;26380;28030;28980;30010;31440;32420;34130;34900
E05000072;Cray Meadows;E09000004;Bexley;29470;29760;31020;32880;33430;35490;36100;38690;38720;40210;41670;42600;;25020;25330;26030;27540;27580;29180;30030;30980;32330;33220;34860;35530
E05000073;Danson Park;E09000004;Bexley;31290;31710;33160;35250;35930;38240;38990;41890;42010;43700;45390;46480;;26470;26890;27720;29410;29520;31300;32300;33380;34910;35940;37780;38580
E05000074;East Wickham;E09000004;Bexley;30120;30410;31690;33580;34130;36230;36840;39490;39520;41040;42550;43510;;25540;25860;26560;28100;28130;29750;30620;31590;32970;33880;35560;36260
E05000075;Erith;E09000004;Bexley;27250;27550;28740;30480;31010;32950;33540;35970;36020;37420;38810;39690;;23190;23500;24160;25590;25640;27140;27950;28850;30130;30980;32520;33160
E05000076;Falconwood and Welling;E09000004;Bexley;32450;32780;34170;36230;36830;39100;39780;42650;42690;44340;45980;47030;;27370;27730;28500;30160;30200;31950;32900;33940;35440;36430;38240;39000
E05000077;Lesnes Abbey;E09000004;Bexley;27920;28360;29730;31680;32380;34560;35330;38070;38280;39940;41600;42710;;23750;24180;24980;26570;26750;28440;29420;30490;31980;33010;34800;35630
E05000078;Longlands;E09000004;Bexley;34370;34730;36190;38360;38980;41370;42060;45060;45070;46780;48470;49520;;28840;29220;30030;31770;31800;33640;34610;35690;37240;38250;40120;40880
E05000079;North End;E09000004;Bexley;24280;24560;25660;27250;27770;29550;30120;32350;32440;33750;35040;35880;;20620;20910;21530;22820;22900;24280;25050;25890;27080;27880;29310;29930
E05000080;Northumberland Heath;E09000004;Bexley;31040;31350;32660;34600;35160;37310;37920;40630;40630;42160;43670;44610;;26280;26610;27330;28910;28930;30590;31470;32440;33840;34750;36450;37130
E05000081;St Mary's;E09000004;Bexley;36000;36540;38260;40710;41530;44230;45110;48480;48620;50590;52540;53800;;30050;30570;31540;33500;33650;35700;36840;38080;39840;41010;43100;44010
E05000082;St Michael's;E09000004;Bexley;32040;32370;33740;35770;36360;38600;39260;42090;42130;43760;45370;46390;;27050;27410;28170;29810;29850;31580;32510;33530;35010;35980;37770;38510
